jobma_catcher_id,is_premium,subscription_status,company_size,sub_user,wallet_amount,is_unlimited,subscription_sum,subscription_count,recorded_interview_count,live_interview_count,invites_count,interview_done,pre_recorded_kit_counts,jobs_posted,since_last_login
2656,0,1,1-25,1,66666.0,1,176.5,1,7,0,0,7,4,2,1
2935,0,0,26-100,0,60.0,0,0.6,1,0,0,0,0,0,0,2
2937,0,0,101-500,0,60.0,0,1.4,1,0,0,0,0,0,0,2
2938,0,1,26-100,0,50.0,0,178.8,3,0,0,0,0,0,1,2
2939,0,0,26-100,0,60.0,0,138.8,1,0,0,0,0,0,1,4
2940,0,0,26-100,0,60.0,0,0.1,1,0,0,0,0,0,1,4
2941,0,0,26-100,0,60.0,0,138.8,1,0,0,0,0,0,1,4
2942,0,0,1-25,0,60.0,0,0.1,1,0,0,0,0,0,0,4
2943,0,0,1-25,0,60.0,0,0.1,1,0,0,0,0,0,1,4
2944,0,0,101-500,0,60.0,0,2.3,1,0,0,0,0,0,0,4
2945,0,0,26-100,0,60.0,0,1.4,1,0,0,0,0,0,0,4
2946,1,0,101-500,0,60.0,0,1.2,1,0,0,0,0,0,0,4
2947,0,0,500-1000,0,60.0,0,0.1,1,0,0,0,0,0,1,4
2948,0,0,1-25,0,60.0,0,1.4,1,0,0,0,0,0,0,4
2949,0,0,101-500,0,60.0,0,3.7,2,0,0,0,0,0,2,4
2950,1,0,101-500,0,60.0,0,1.2,1,0,0,0,0,0,0,4
2951,1,0,1-25,0,60.0,0,1.4,1,0,0,0,0,0,0,4
2952,1,0,1-25,0,60.0,0,0.0,1,0,0,0,0,0,0,4
2953,0,0,101-500,0,60.0,0,0.1,1,0,0,0,0,0,1,4
2954,0,0,26-100,0,60.0,0,138.8,1,0,0,0,0,0,1,4
2955,0,0,1-25,0,60.0,0,0.3,1,0,0,0,0,0,0,4
2956,0,0,101-500,0,60.0,0,138.8,1,0,0,0,0,0,1,4
2957,1,1,1-25,7,50.0,0,259.3,25,424,70,1,493,12,40,2
2958,0,0,1-25,0,60.0,0,0.1,1,0,0,0,0,0,0,4
2959,1,0,26-100,0,60.0,0,3.7,2,0,0,0,0,0,0,4
2960,0,0,1-25,0,60.0,0,0.6,1,0,0,0,0,0,0,4
2961,0,0,1-25,0,60.0,0,0.6,1,0,0,0,0,0,0,4
2962,1,0,1-25,0,60.0,0,1.2,1,0,0,0,0,0,0,4
2963,1,0,1-25,0,60.0,0,1.2,1,0,0,0,0,0,0,4
2964,1,0,1-25,1,60.0,0,1.2,1,0,0,0,0,0,2,4
2966,1,0,26-100,0,60.0,0,1.2,1,0,0,0,0,0,1,4
2967,1,0,1-25,0,60.0,0,23.5,1,0,0,0,0,0,1,4
2968,1,0,1-25,0,60.0,0,23.5,1,0,0,0,0,0,1,4
2969,1,0,26-100,0,60.0,0,23.5,1,0,0,0,0,0,1,4
2970,1,0,101-500,0,60.0,0,23.5,1,0,0,0,0,0,1,4
2971,0,0,1-25,0,60.0,0,0.0,1,0,0,0,0,0,0,4
2972,0,0,1-25,0,60.0,0,0.0,1,0,0,0,0,0,0,4
2973,0,0,1-25,0,60.0,0,0.0,1,0,0,0,0,0,1,4
2974,1,0,101-500,0,60.0,0,1.2,1,0,0,0,0,0,1,4
2975,1,0,26-100,0,60.0,0,1.2,1,0,0,0,0,0,1,4
2976,1,0,26-100,0,60.0,0,1.2,1,0,0,0,0,0,1,4
2977,0,0,1-25,0,60.0,0,0.0,1,0,0,0,0,0,0,4
2978,0,0,1-25,0,60.0,0,0.0,1,0,0,0,0,0,0,4
2979,0,0,26-100,0,60.0,0,1.4,1,0,0,0,0,0,0,4
2980,0,0,1-25,0,60.0,0,0.0,1,0,0,0,0,0,0,4
